epoch,dice_coefficient,loss,val_dice_coefficient,val_loss
0,0.15593238174915314,0.8440675735473633,0.013762674294412136,0.9863020777702332
1,0.2993113100528717,0.7006887197494507,0.0054176547564566135,0.9945636987686157
2,0.37943726778030396,0.6205626726150513,0.020406028255820274,0.9794362187385559
3,0.46841275691986084,0.5315871834754944,0.12154918909072876,0.8808643817901611
4,0.5414209365844727,0.45857906341552734,0.37881770730018616,0.6243625283241272
5,0.6007130742073059,0.39928701519966125,0.4923281669616699,0.5109903216362
6,0.6451403498649597,0.3548597991466522,0.578970193862915,0.42257341742515564
7,0.6823940873146057,0.31760603189468384,0.5486108064651489,0.4488520324230194
8,0.7166391015052795,0.28336089849472046,0.6098629832267761,0.3886490762233734
9,0.7500463724136353,0.24995343387126923,0.5960587859153748,0.4001954197883606
10,0.7628337144851685,0.2371664196252823,0.6913003921508789,0.3075874447822571
11,0.7864279747009277,0.21357186138629913,0.6435571908950806,0.35162773728370667
12,0.7981904149055481,0.20180948078632355,0.6726385951042175,0.32728832960128784
13,0.8097046613693237,0.19029545783996582,0.7256564497947693,0.2719714641571045
14,0.8323556184768677,0.16764430701732635,0.7531325817108154,0.24503037333488464
15,0.8378575444221497,0.16214266419410706,0.7385015487670898,0.2595958709716797
16,0.8345651626586914,0.16543491184711456,0.7085723876953125,0.2896796464920044
17,0.8394635319709778,0.16053655743598938,0.712210476398468,0.2861664891242981
18,0.8549318313598633,0.14506809413433075,0.7617331147193909,0.23668621480464935
19,0.8658298254013062,0.13417018949985504,0.7693493962287903,0.22988373041152954
20,0.8676050305366516,0.13239489495754242,0.7793828248977661,0.21894480288028717
21,0.8791291117668152,0.1208709105849266,0.7828564047813416,0.21664676070213318
22,0.8857834339141846,0.11421658098697662,0.7839289903640747,0.2148275375366211
23,0.8867827653884888,0.11321751028299332,0.7888006567955017,0.20964840054512024
24,0.8938332200050354,0.10616683959960938,0.783502459526062,0.21691779792308807
25,0.9017273783683777,0.09827271103858948,0.7790104746818542,0.2204863578081131
26,0.8995359539985657,0.10046432912349701,0.7822648286819458,0.21646136045455933
27,0.8979148268699646,0.1020851656794548,0.7813109159469604,0.21578098833560944
28,0.9038387537002563,0.09616116434335709,0.7974222898483276,0.20122531056404114
29,0.9077029228210449,0.09229713678359985,0.7985550761222839,0.20104344189167023
30,0.9068529009819031,0.09314709901809692,0.7670897841453552,0.2313006967306137
31,0.9045276641845703,0.09547217935323715,0.7413615584373474,0.2610357701778412
32,0.8896351456642151,0.11036483943462372,0.7776737213134766,0.22079671919345856
33,0.8994527459144592,0.10054724663496017,0.7670155763626099,0.2318020462989807
34,0.9034870266914368,0.09651299566030502,0.8046358227729797,0.19314570724964142
35,0.9218643307685852,0.07813587039709091,0.7988685965538025,0.20080327987670898
36,0.921688437461853,0.07831138372421265,0.7828108072280884,0.2165459543466568
37,0.9260584712028503,0.07394147664308548,0.8066146373748779,0.19313767552375793
38,0.9305376410484314,0.06946240365505219,0.8141559958457947,0.18581922352313995
39,0.9348419904708862,0.06515819579362869,0.8140076994895935,0.18460777401924133
40,0.9376063942909241,0.06239357963204384,0.8063228130340576,0.19221794605255127
41,0.9400440454483032,0.05995602533221245,0.7981802225112915,0.1994188278913498
42,0.9405102133750916,0.059489648789167404,0.8036843538284302,0.19449789822101593
43,0.9404758810997009,0.05952416732907295,0.8153210878372192,0.1827021688222885
44,0.9420112371444702,0.057989079505205154,0.8033652901649475,0.19593390822410583
45,0.9436829686164856,0.05631684139370918,0.8154434561729431,0.18508276343345642
46,0.9439704418182373,0.05602956563234329,0.8034934401512146,0.19537310302257538
47,0.9291896224021912,0.07080995291471481,0.7728765606880188,0.228908509016037
48,0.9196769595146179,0.08032314479351044,0.7790012955665588,0.21998544037342072
49,0.9340276718139648,0.06597201526165009,0.8136867880821228,0.18452808260917664
50,0.9437467455863953,0.056253161281347275,0.8126614689826965,0.185552716255188
51,0.9471909999847412,0.05280886963009834,0.8114246726036072,0.18677356839179993
52,0.9494568109512329,0.05054326727986336,0.8119392991065979,0.1862373650074005
53,0.951153039932251,0.04884696379303932,0.8118478655815125,0.18634983897209167
54,0.9527618288993835,0.04723834991455078,0.8134693503379822,0.18470844626426697
55,0.953009843826294,0.046990327537059784,0.8139461874961853,0.18422383069992065
56,0.9532023668289185,0.04679759591817856,0.8140423893928528,0.1841231882572174
57,0.9533805251121521,0.04661940783262253,0.8140156269073486,0.18414734303951263
58,0.9535549879074097,0.04644493758678436,0.813959538936615,0.1842014193534851
59,0.9537715911865234,0.04622854292392731,0.8140485286712646,0.18411406874656677
